task_id,iamfloc,pve_id,wo_id,title,project_manager,project_manager_phone,status,project_type,resident_engineer,address_street,street_from,street_to,council_district,community_planning_area,funclass,length,width,date_moratorium,date_start,date_end,paving_miles,pci_16,pci23,pci_before,pci_after_estimate,pci_after,pci_improvement,improvement_pct,is_effective
133601,SS-000530-PV1,921919,UTLY,Public Works CIP,engineering@sandiego.gov,858-627-3200,POST CONSTRUCTION,SLURRY,ECP,25TH ST,CESAR E CHAVEZ PY,IMPERIAL AV,8,SOUTHEASTERN SAN DIEGO,CL 2 LANE COLLECTOR,390,60.0,2016-07-06,2016-07-06,2016-07-06,0.1477272727272727,61.86,61.79,61.85986144101346,61.85986144101346,61.85986144101346,0.0,0.0,False
133598,SS-014291-PV1,918947,UTLY,Public Works CIP,engineering@sandiego.gov,858-627-3200,POST CONSTRUCTION,SLURRY,ECP,ISLAND AV,29TH ST,DODSON ST,8,SOUTHEASTERN SAN DIEGO,RES RESIDENTIAL LOCAL STREET,285,40.0,2016-07-06,2016-07-06,2016-07-06,0.0539772727272727,88.0,84.7,87.99346793349169,87.99346793349169,87.99346793349169,0.0,0.0,False
133602,SS-000529-PV1,921905,UTLY,Public Works CIP,engineering@sandiego.gov,858-627-3200,POST CONSTRUCTION,SLURRY,ECP,25TH ST,IMPERIAL AV,L ST,8,SOUTHEASTERN SAN DIEGO,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,378,60.0,2016-07-06,2016-07-06,2016-07-06,0.1431818181818181,83.07,64.93,83.0340934283452,83.0340934283452,83.0340934283452,0.0,0.0,False
133581,SS-025813-PV1,923230,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,SUNDANCE AV,SUNDANCE CT,ROWLETT AV,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,292,40.0,2016-07-06,2016-07-06,2016-07-06,0.0553030303030303,65.99,64.24,65.98653602533649,65.98653602533649,65.98653602533649,0.0,0.0,False
133579,SS-009118-PV1,923293,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,DERON AV,CAROLEE AV,PAGEANT AV,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,256,36.0,2016-07-06,2016-07-06,2016-07-06,0.0484848484848484,56.93,66.73,56.9493982581156,56.9493982581156,66.73,9.780601741884404,17.174196815135996,False
133578,SS-009117-PV1,923291,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,DERON AV,SUNDANCE AV,CAROLEE AV,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,388,36.0,2016-07-06,2016-07-06,2016-07-06,0.0734848484848484,51.81,78.7,51.86322644497229,51.86322644497229,78.7,26.836773555027712,51.745283497743735,True
133591,SS-032242-PV1,901350,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,QUAIL RUN ST,LOPELIA MEADOWS PL,SAGE MESA RD,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,380,36.0,2016-07-06,2016-07-06,2016-07-06,0.0719696969696969,91.5,67.28,91.45205859065716,91.45205859065716,91.45205859065716,0.0,0.0,False
133584,SS-026760-PV1,923373,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,TRAIL DUST AV,RIFLE WY,OLD WEST WY,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,275,36.0,2016-07-06,2016-07-06,2016-07-06,0.0520833333333333,49.0,77.41,49.0562351543943,49.0562351543943,77.41,28.353764845605696,57.79849341550185,True
133587,SS-032204-PV1,903969,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,ZINNIA HILLS PL,VALERIAN VISTA PL,QUAIL RUN ST,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,267,36.0,2016-07-06,2016-07-06,2016-07-06,0.0505681818181818,99.5,70.29,99.44218131433095,99.44218131433095,99.44218131433095,0.0,0.0,False
133589,SS-032214-PV1,903971,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,QUAIL RUN ST,HYACINTH HILLS WY,MARGUERITE CREEK WY,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,274,36.0,2016-07-06,2016-07-06,2016-07-06,0.0518939393939393,96.47,78.2,96.43383610451306,96.43383610451306,96.43383610451306,0.0,0.0,False
133590,SS-032215-PV1,903967,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,QUAIL RUN ST,MARGUERITE CREEK WY,LOPELIA MEADOWS PL,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,295,36.0,2016-07-06,2016-07-06,2016-07-06,0.0558712121212121,91.5,92.45,91.50188044338876,91.50188044338876,92.45,0.9481195566112461,1.0361749419978725,False
133596,SS-031927-PV1,914576,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,GINGER GLEN RD,ASTER MEADOWS PL,BLAZING STAR LN,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,303,34.0,2016-07-06,2016-07-06,2016-07-06,0.0573863636363636,98.0,92.0,97.98812351543943,97.98812351543943,97.98812351543943,0.0,0.0,False
133580,SS-010384-PV1,923201,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,ENTREKEN AV,ENTREKEN WY,BAVARIAN DR,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,1063,36.0,2016-07-06,2016-07-06,2016-07-06,0.2013257575757575,38.46,64.54,38.51162311955661,38.51162311955662,64.54,26.028376880443396,67.5857696250302,True
133599,SS-014292-PV1,918948,UTLY,Public Works CIP,engineering@sandiego.gov,858-627-3200,POST CONSTRUCTION,SLURRY,ECP,ISLAND AV,HOITT ST,29TH ST,8,SOUTHEASTERN SAN DIEGO,RES RESIDENTIAL LOCAL STREET,276,40.0,2016-07-06,2016-07-06,2016-07-06,0.0522727272727272,92.36,82.48,92.34044338875692,92.34044338875692,92.34044338875692,0.0,0.0,False
133588,SS-032213-PV1,903974,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,QUAIL RUN ST,ZINNIA HILLS PL,HYACINTH HILLS WY,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,265,36.0,2016-07-06,2016-07-06,2016-07-06,0.0501893939393939,99.5,78.25,99.45793745051465,99.45793745051465,99.45793745051465,0.0,0.0,False
133595,SS-031836-PV1,914571,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,VILLAGE CENTER LOOP RD,CARMEL VALLEY RD,END,1,PACIFIC HIGHLANDS RANCH,CL 2 LANE SUB-COLLECTOR,2425,80.0,2016-07-06,2016-07-06,2016-07-06,0.918560606060606,95.32,82.54,95.29470308788598,95.29470308788598,95.29470308788598,0.0,0.0,False
133592,SS-032251-PV1,901338,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,MONTEZ VILLA RD,SAGE MESA RD,ARROYO DALE LN,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,318,36.0,2016-07-06,2016-07-06,2016-07-06,0.0602272727272727,99.5,57.68,99.41722090261283,99.41722090261283,99.41722090261283,0.0,0.0,False
133594,SS-032253-PV1,901339,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,MONTEZ VILLA RD,CHAMISE VISTA LN,GOLDEN CYPRESS PL,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,278,36.0,2016-07-06,2016-07-06,2016-07-06,0.0526515151515151,99.5,75.5,99.45249406175772,99.45249406175772,99.45249406175772,0.0,0.0,False
133582,SS-026565-PV1,923194,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,TOGAN AV,SUNDANCE AV,DERON AV,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,867,36.0,2016-07-06,2016-07-06,2016-07-06,0.1642045454545454,60.21,71.51,60.23236737925574,60.23236737925574,71.51,11.277632620744264,18.723542028049728,True
133593,SS-032252-PV1,901341,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,MONTEZ VILLA RD,ARROYO DALE LN,CHAMISE VISTA LN,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,278,36.0,2016-07-06,2016-07-06,2016-07-06,0.0526515151515151,99.5,75.37,99.45223673792557,99.45223673792557,99.45223673792557,0.0,0.0,False
133597,SS-014296-PV1,918955,UTLY,Public Works CIP,engineering@sandiego.gov,858-627-3200,POST CONSTRUCTION,SLURRY,ECP,ISLAND AV,DODSON ST,30TH ST,8,SOUTHEASTERN SAN DIEGO,RES RESIDENTIAL LOCAL STREET,280,40.0,2016-07-06,2016-07-06,2016-07-06,0.053030303030303,52.0,67.24,52.030166270783845,52.03016627078385,67.24,15.20983372921615,29.23272174464841,True
133613,SS-023656-PV1,923210,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,ROWLETT AV,SUNDANCE AV,CAROLEE AV,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,293,36.0,2016-07-07,2016-07-07,2016-07-07,0.0554924242424242,51.21,64.47,51.241496437054636,51.241496437054636,64.47,13.228503562945363,25.81599774158691,True
133621,SS-031565-PV1,934789,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,DEL MAR MESA RD,AQUITAINE CT,LORIENT CT,1,DEL MAR MESA,CL 2 LANE SUB-COLLECTOR,633,25.0,2016-07-07,2016-07-07,2016-07-07,0.1198863636363636,94.34,74.21,94.29218527315915,94.29218527315915,94.29218527315915,0.0,0.0,False
133612,SS-010396-PV1,923202,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,ENTREKEN WY,CARMEL MTN RD,ENTREKEN AV,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,197,40.0,2016-07-07,2016-07-07,2016-07-07,0.037310606060606,74.2,73.59,74.19855106888362,74.19855106888362,74.19855106888362,0.0,0.0,False
133611,SS-010393-PV1,901409,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,ENTREKEN WY,AUBURN RIDGE WY,RUSSET LEAF LN,5,TORREY HIGHLANDS,RES RESIDENTIAL LOCAL STREET,271,40.0,2016-07-07,2016-07-07,2016-07-07,0.0513257575757575,84.27,78.38,84.25600950118765,84.25600950118765,84.25600950118765,0.0,0.0,False
133617,SS-032249-PV1,901337,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,GOLDEN CYPRESS PL,SILVERBUSH CREEK ST,MONTEZ VILLA RD,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,663,36.0,2016-07-07,2016-07-07,2016-07-07,0.1255681818181818,91.54,75.23,91.50125890736342,91.50125890736342,91.50125890736342,0.0,0.0,False
133622,SS-031566-PV1,934790,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,DEL MAR MESA RD,LORIENT CT,ANGOULEME CT,1,DEL MAR MESA,CL 2 LANE SUB-COLLECTOR,144,25.0,2016-07-07,2016-07-07,2016-07-07,0.0272727272727272,58.0,77.25,58.045724465558195,58.045724465558195,77.25,19.204275534441805,33.084737439769206,True
133624,SS-031569-PV1,900743,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,LORIENT CT,BEGIN,DEL MAR MESA RD,1,DEL MAR MESA,RES RESIDENTIAL LOCAL STREET,135,28.0,2016-07-07,2016-07-07,2016-07-07,0.0255681818181818,56.0,98.4,56.10071258907364,56.10071258907363,98.4,42.29928741092637,75.39884158114013,True
133614,SS-023657-PV1,923212,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,ROWLETT AV,PAGEANT AV,DERON AV,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,291,36.0,2016-07-07,2016-07-07,2016-07-07,0.0551136363636363,56.0,74.82,56.044703087885985,56.044703087885985,74.82,18.77529691211401,33.50057343094797,True
133606,SS-003657-PV1,923195,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,BAVARIAN DR,ENTREKEN AV,SPARREN AV,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,256,36.0,2016-07-07,2016-07-07,2016-07-07,0.0484848484848484,60.89,65.84,60.901757719714965,60.901757719714965,65.84,4.9382422802850385,8.108538185403544,False
133607,SS-003658-PV1,923224,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,BAVARIAN DR,BAVARIAN WY,ENTREKEN AV,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,850,36.0,2016-07-07,2016-07-07,2016-07-07,0.1609848484848484,43.43,67.96,43.488266033254156,43.488266033254156,67.96,24.471733966745838,56.272038871434994,True
133608,SS-003662-PV1,923225,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,BAVARIAN WY,ENTREKEN AV,BAVARIAN DR,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,273,36.0,2016-07-07,2016-07-07,2016-07-07,0.0517045454545454,54.6,75.09,54.648669833729215,54.648669833729215,75.09,20.441330166270788,37.40499124400349,True
133609,SS-005368-PV1,901411,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,CALDERON RD,CARMEL MTN RD,ENTREKEN WY,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,523,34.0,2016-07-07,2016-07-07,2016-07-07,0.0990530303030303,88.78,89.2,88.78099762470309,88.78099762470309,89.2,0.41900237529691253,0.47195051475781813,False
133620,SS-024847-PV1,900583,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,DEL MAR MESA RD,CARMEL COUNTRY RD,END,1,DEL MAR MESA,CL 2 LANE SUB-COLLECTOR,3714,32.0,2016-07-07,2016-07-07,2016-07-07,0.7034090909090909,63.39,70.19,63.40615201900238,63.40615201900238,70.19,6.783847980997621,10.699037498702884,False
133619,SS-031835-PV1,903965,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,ZINNIA HILLS PL,CARMEL VALLEY RD,BLUE DAWN TL,1,PACIFIC HIGHLANDS RANCH,CL 2 LANE SUB-COLLECTOR,481,40.0,2016-07-07,2016-07-07,2016-07-07,0.0910984848484848,99.5,90.15,99.47779097387173,99.47779097387173,99.47779097387173,0.0,0.0,False
133626,SS-031674-PV1,934945,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,MESA NORTE DR,BEGIN,DEL VINO CT,1,DEL MAR MESA,RES RESIDENTIAL LOCAL STREET,1214,30.0,2016-07-07,2016-07-07,2016-07-07,0.2299242424242424,94.03,81.8,94.00095011876485,94.00095011876485,94.00095011876485,0.0,0.0,False
133625,SS-031570-PV1,900744,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,ANGOULEME CT,DEL MAR MESA RD,END,1,DEL MAR MESA,RES RESIDENTIAL LOCAL STREET,454,28.0,2016-07-07,2016-07-07,2016-07-07,0.0859848484848484,66.72,83.1,66.75890736342042,66.75890736342043,83.1,16.341092636579575,24.477771254736624,True
133616,SS-032248-PV1,901340,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,GOLDEN CYPRESS PL,CARMEL VALLEY RD,SILVERBUSH CREEK ST,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,204,36.0,2016-07-07,2016-07-07,2016-07-07,0.0386363636363636,91.5,84.04,91.48228028503563,91.48228028503563,91.48228028503563,0.0,0.0,False
133615,SS-023658-PV1,923215,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,ROWLETT AV,CAROLEE AV,PAGEANT AV,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,274,36.0,2016-07-07,2016-07-07,2016-07-07,0.0518939393939393,56.0,82.08,56.06194774346793,56.06194774346793,82.08,26.018052256532066,46.4094689959529,True
133623,SS-031568-PV1,900742,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,AQUITAINE CT,DEL MAR MESA RD,END,1,DEL MAR MESA,RES RESIDENTIAL LOCAL STREET,305,28.0,2016-07-07,2016-07-07,2016-07-07,0.0577651515151515,58.0,100.0,58.09976247030879,58.09976247030879,100.0,41.90023752969121,72.11774325429272,True
133610,SS-008354-PV1,923242,S1601,SLURRY SEAL GROUP 1601,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,CTE FRAGATA,BEGIN,RUSSET LEAF LN,5,RANCHO PENASQUITOS,RES RESIDENTIAL LOCAL STREET,264,30.0,2016-07-07,2016-07-07,2016-07-07,0.05,52.0,91.6,52.094061757719714,52.094061757719714,91.6,39.50593824228028,75.83578033522404,True
133618,SS-032250-PV1,901336,S1602,SLURRY SEAL GROUP 1602,AVance@sandiego.gov,619-527-7500,POST CONSTRUCTION,SLURRY,Natalia Torres,GOLDEN CYPRESS PL,MONTEZ VILLA RD,QUAIL RUN ST,1,PACIFIC HIGHLANDS RANCH,RES RESIDENTIAL LOCAL STREET,286,36.0,2016-07-07,2016-07-07,2016-07-07,0.0541666666666666,91.5,76.9,91.46532066508314,91.46532066508314,91.46532066508314,0.0,0.0,False
