report_id,date_time,person_role,person_injury_lvl,person_veh_type,veh_type,veh_make,veh_model,police_beat,address_no_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl
1606812,2016-08-10 20:55:00,DRIVER,,,,TOYOTA,YARIS,813,0, ,30TH,STREET, ,HOWARD,AVENUE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR
1607024,2016-08-11 16:54:00,DRIVER,,,AUTOMOBILE,HYUNDAI,TUCSON,813,0, ,ADAMS,AVENUE, ,ARIZONA,STREET,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,1,0,
1606796,2016-08-11 21:15:00,PARKED VEHICLE OCCUPANT,,,,CHEVROLET,SUBURBAN,624,0, ,HOWARD,AVENUE, ,MISSISSIPPI,STREET,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR
1606807,2016-08-12 18:30:00,DRIVER,,,AUTOMOBILE,NISSAN,VERSA,627,0, ,01ST,AVENUE, ,UNIVERSITY,AVENUE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR
1608324,2016-08-13 14:28:00,DRIVER,,,,MAZDA,CX7,122,0, ,GRAND,AVENUE, ,LAMONT,STREET,21703,VC,FOLLOWING TOO CLOSELY,1,0,
1608324,2016-08-13 14:28:00,DRIVER,VISABLE,,,TOYOTA,RAV4,122,0, ,GRAND,AVENUE, ,LAMONT,STREET,21703,VC,FOLLOWING TOO CLOSELY,1,0,
1608324,2016-08-13 14:28:00,DRIVER,,,,JEEP,COMANCHE,122,0, ,GRAND,AVENUE, ,LAMONT,STREET,21703,VC,FOLLOWING TOO CLOSELY,1,0,
1606885,2016-08-13 22:00:00,DRIVER,VISABLE,,LIGHT DUTY TRUCK,TOYOTA,,235,0, ,SAN PASQUAL VALLEY,ROAD, ,SAN PASQUAL VALLEY,ROAD,21453C,VC,"RED ARROW,DO NOT ENTER INTERSECTION",1,0,
1606885,2016-08-13 22:00:00,DRIVER,,,,HONDA,ELEMENT,235,0, ,SAN PASQUAL VALLEY,ROAD, ,SAN PASQUAL VALLEY,ROAD,21453C,VC,"RED ARROW,DO NOT ENTER INTERSECTION",1,0,
1606825,2016-08-14 18:22:00,DRIVER,PAIN,,,TOYOTA,YARIS,721,0, ,16TH,STREET, ,PALM,AVENUE,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",3,0,
1606825,2016-08-14 18:22:00,DRIVER,PAIN,,,FORD,MUSTANG,721,0, ,16TH,STREET, ,PALM,AVENUE,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",3,0,
1606996,2016-08-15 09:03:00,DRIVER,,,LIGHT DUTY TRUCK,FORD,,813,0, ,PARK,BOULEVARD, ,UNIVERSITY,AVENUE,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,
1606996,2016-08-15 09:03:00,DRIVER,,,,JEEP,COMPASS,813,0, ,PARK,BOULEVARD, ,UNIVERSITY,AVENUE,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,
1607020,2016-08-15 13:56:00,DRIVER,PAIN,,,AUDI,,933,0, ,I-5 SB, , ,VIA DE LA VALLE, ,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",2,0,
1607020,2016-08-15 13:56:00,DRIVER,VISABLE,,,CHEVROLET,TRAIL BLAZER,933,0, ,I-5 SB, , ,VIA DE LA VALLE, ,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",2,0,
1606948,2016-08-15 17:24:00,DRIVER,,,,KIA,SPORTAGE,451,0, ,EUCLID,AVENUE, ,FEDERAL,BOULEVARD,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1606948,2016-08-15 17:24:00,DRIVER,,,,DODGE,RAM 1500 PU,451,0, ,EUCLID,AVENUE, ,FEDERAL,BOULEVARD,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1606880,2016-08-15 18:25:00,DRIVER,,,,JEEP,CHEROKEE,312,0, ,GURNARD,STREET, ,SANTO,ROAD,21950A,VC,YIELD RIGHT OF WAY TO PEDESTRIANS,1,0,
1606925,2016-08-16 21:35:00,DRIVER,,,,NISSAN,MAXIMA,821,0, ,COLLEGE,AVENUE, ,EL CAJON,BOULEVARD,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR
1607112,2016-08-19 21:19:00,DRIVER,,,,NISSAN,,315,0, ,HAZARD CENTER,DRIVE, ,MISSION CENTER,ROAD,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,3,0,
1607112,2016-08-19 21:19:00,DRIVER,,,,PONTIAC,,315,0, ,HAZARD CENTER,DRIVE, ,MISSION CENTER,ROAD,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,3,0,
1607112,2016-08-19 21:19:00,DRIVER,,,,FORD,,315,0, ,HAZARD CENTER,DRIVE, ,MISSION CENTER,ROAD,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,3,0,
1607097,2016-08-19 21:20:00,DRIVER,,,,MERCEDES-BENZ,C230 SERIES,315,0, ,CAMINO DE LA REINA, , ,PARK VALLEY CENTER,DRIVE,22350,VC,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",0,0,MISDEMEANOR
1607065,2016-08-21 05:51:00,DRIVER,,,,VOLKSWAGEN,JETTA,722,0, ,SR-905 WB, , ,TOCAYO,AVENUE,23136,VC,DUI:UNDER 21YR W/BA.01 (ZERO TOLERANCE) (I),0,0,
1607111,2016-08-21 21:58:00,DRIVER,,,,MERCURY,GRAND MARQUIS,313,0, ,CONVOY,STREET, ,ENGINEER,ROAD,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1607111,2016-08-21 21:58:00,DRIVER,PAIN,,,AUDI,A4,313,0, ,CONVOY,STREET, ,ENGINEER,ROAD,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1607351,2016-08-22 12:00:00,DRIVER,,,,FORD,FOCUS,627,0, ,ESSEX,STREET, ,RICHMOND,STREET,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,
1607351,2016-08-22 12:00:00,DRIVER,,,,TOYOTA,COROLLA,627,0, ,ESSEX,STREET, ,RICHMOND,STREET,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,
1607156,2016-08-23 01:45:00,DRIVER,,,,HONDA,ACCORD,821,0, ,63RD,STREET, ,EL CAJON,BOULEVARD,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",2,0,
1607156,2016-08-23 01:45:00,DRIVER,PAIN,,,TOYOTA,MATRIX (SPORT WAGON),821,0, ,63RD,STREET, ,EL CAJON,BOULEVARD,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",2,0,
1607157,2016-08-23 22:40:00,DRIVER,,,,JEEP,PATRIOT,327,0, ,COLLEGE,AVENUE, ,MONTEZUMA,ROAD,21453C,VC,"RED ARROW,DO NOT ENTER INTERSECTION",1,0,
1607157,2016-08-23 22:40:00,DRIVER,PAIN,,,DODGE,POWER RAM,327,0, ,COLLEGE,AVENUE, ,MONTEZUMA,ROAD,21453C,VC,"RED ARROW,DO NOT ENTER INTERSECTION",1,0,
1607157,2016-08-23 22:40:00,DRIVER,,,,CHRYSLER,,327,0, ,COLLEGE,AVENUE, ,MONTEZUMA,ROAD,21453C,VC,"RED ARROW,DO NOT ENTER INTERSECTION",1,0,
1607208,2016-08-23 23:42:00,DRIVER,,,,FORD,PROBE,813,0, ,30TH,STREET, ,HOWARD,AVENUE,21755,VC,PASS ON THE RIGHT SAFELY,0,0,MISDEMEANOR
1607188,2016-08-24 00:27:00,DRIVER,PAIN,,AUTOMOBILE,ACURA,,521,0, ,11TH,AVENUE, ,F,STREET,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,
1607188,2016-08-24 00:27:00,DRIVER,,,,KIA,,521,0, ,11TH,AVENUE, ,F,STREET,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,
1607391,2016-08-25 07:20:00,DRIVER,,,,TOYOTA,PRIUS,523,0, ,05TH,AVENUE, ,E,STREET,21950B,VC,"PEDESTRIAN NOT TO SUDDENLY ENTER PATH, ETC",1,0,
1607211,2016-08-25 15:55:00,DRIVER,,,,TOYOTA,CAMRY,122,0, ,BERYL,STREET, ,LAMONT,STREET,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",0,0,MISDEMEANOR
1607598,2016-08-28 16:55:00,DRIVER,,,,VOLKSWAGEN,JETTA,626,0, ,GUY,STREET, ,PRINGLE,STREET,21800B,VC,"UNCONTROLLED INTERSECTION,YIELD TO VEHICLE ON RIGHT",1,0,
1607598,2016-08-28 16:55:00,DRIVER,SEVERE,,MOTORCYCLE,YAMAHA,,626,0, ,GUY,STREET, ,PRINGLE,STREET,21800B,VC,"UNCONTROLLED INTERSECTION,YIELD TO VEHICLE ON RIGHT",1,0,
1607331,2016-08-28 17:00:00,PARKED VEHICLE OCCUPANT,,,,HONDA,ACCORD,517,0, ,25TH,STREET, ,C,STREET,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR
1607374,2016-08-28 23:09:00,DRIVER,,,,,,526,0, ,06TH,AVENUE, ,BEECH,STREET,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",0,0,MISDEMEANOR
1607625,2016-09-02 11:23:00,DRIVER,PAIN,,,CHEVROLET,IMPALA,446,0, ,47TH,STREET, ,IMPERIAL,AVENUE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,2,0,
1607625,2016-09-02 11:23:00,DRIVER,,,,NISSAN,ROGUE,446,0, ,47TH,STREET, ,IMPERIAL,AVENUE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,2,0,
1607468,2016-09-02 11:33:00,DRIVER,PAIN,,,DODGE,RAM 1500 PU,933,0, ,DEL MAR HEIGHTS,ROAD, ,I-5 SB, ,21658A,VC,LANED ROADWAYS - STRADDLING OR UNSAFE CHANGING,1,0,
1607468,2016-09-02 11:33:00,DRIVER,,,,TOYOTA,CAMRY,933,0, ,DEL MAR HEIGHTS,ROAD, ,I-5 SB, ,21658A,VC,LANED ROADWAYS - STRADDLING OR UNSAFE CHANGING,1,0,
1608586,2016-09-03 20:55:00,DRIVER,,,,MERCEDES-BENZ,,321,0, ,ALVARADO CANYON,ROAD, ,FAIRMOUNT,AVENUE,23152(E),VC,DUI DRUGS (M),3,0,
1608586,2016-09-03 20:55:00,DRIVER,,,,GENERAL MOTORS CORP,YUKON (DENALI),321,0, ,ALVARADO CANYON,ROAD, ,FAIRMOUNT,AVENUE,23152(E),VC,DUI DRUGS (M),3,0,
1607851,2016-09-04 14:00:00,DRIVER,,,,TOYOTA,CELICA,124,0, ,LA JOLLA,PARKWAY, ,TORREY PINES,ROAD,22350,VC,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,
1607851,2016-09-04 14:00:00,DRIVER,,,,NISSAN,MAXIMA,124,0, ,LA JOLLA,PARKWAY, ,TORREY PINES,ROAD,22350,VC,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,
1607784,2016-09-04 19:50:00,DRIVER,PAIN,,,MINI,COOPER,122,0, ,CROWN POINT,DRIVE, ,MOORLAND,DRIVE,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,2,0,
1607784,2016-09-04 19:50:00,DRIVER,,,,CADILLAC,DEVILLE,122,0, ,CROWN POINT,DRIVE, ,MOORLAND,DRIVE,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,2,0,
1607784,2016-09-04 19:50:00,DRIVER,,,,CHEVROLET,SILVERADO,122,0, ,CROWN POINT,DRIVE, ,MOORLAND,DRIVE,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,2,0,
1607503,2016-09-05 01:00:00,PARKED VEHICLE OCCUPANT,,,,HONDA,INSIGHT,516,0, ,32ND,STREET, ,G,STREET,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR
1607505,2016-09-05 12:00:00,DRIVER,,,,NISSAN,SENTRA,712,0, ,DAIRY MART,ROAD,W,SAN YSIDRO,BOULEVARD,22350,VC,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",0,0,MISDEMEANOR
1607403,2016-09-06 07:14:00,DRIVER,,,,B.M.W.,,531,0, ,FLORIDA,DRIVE, ,MORLEY FIELD,DRIVE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR
1607629,2016-09-07 12:31:00,DRIVER,,,,HONDA,PRELUDE,511,0, ,NATIONAL,AVENUE, ,SAMPSON,STREET,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,
1607629,2016-09-07 12:31:00,DRIVER,PAIN,,,CHEVROLET,LUMINA,511,0, ,NATIONAL,AVENUE, ,SAMPSON,STREET,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,
1607705,2016-09-09 15:00:00,DRIVER,,,,TOYOTA,TACOMA,821,0, ,67TH,STREET, ,EL CAJON,BOULEVARD,21703,VC,FOLLOWING TOO CLOSELY,0,0,MISDEMEANOR
1607637,2016-09-09 20:45:00,PARKED VEHICLE OCCUPANT,,,,MAZDA,MAZDA 3,122,0, ,GARNET,AVENUE, ,NOYES,STREET,22350,VC,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,
1607637,2016-09-09 20:45:00,DRIVER,VISABLE,,,HONDA,,122,0, ,GARNET,AVENUE, ,NOYES,STREET,22350,VC,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,
1607637,2016-09-09 20:45:00,PARKED VEHICLE OCCUPANT,,,,HYUNDAI,SONATA,122,0, ,GARNET,AVENUE, ,NOYES,STREET,22350,VC,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",1,0,
1608019,2016-09-13 17:52:00,DRIVER,PAIN,,,TOYOTA,PRIUS,521,0, ,16TH,STREET, ,BROADWAY, ,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1608019,2016-09-13 17:52:00,DRIVER,,,,HONDA,CIVIC (AND CRX),521,0, ,16TH,STREET, ,BROADWAY, ,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1607911,2016-09-17 19:30:00,DRIVER,PAIN,,,TOYOTA,RAV4,614,0, ,NIMITZ,BOULEVARD, ,SUNSET CLIFFS,BOULEVARD,22350,VC,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",2,0,MISDEMEANOR
1607943,2016-09-17 21:47:00,DRIVER,PAIN,,,HONDA,CIVIC (AND CRX),234,0, ,RANCHO BERNARDO,ROAD, ,WEST BERNARDO,DRIVE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,2,0,
1607943,2016-09-17 21:47:00,DRIVER,PAIN,,,HONDA,ACCORD,234,0, ,RANCHO BERNARDO,ROAD, ,WEST BERNARDO,DRIVE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,2,0,
1608125,2016-09-18 21:46:00,DRIVER,PAIN,,,NISSAN,,723,0, ,BEYER,BOULEVARD, ,PALM,AVENUE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,
1608125,2016-09-18 21:46:00,DRIVER,,,,MAZDA,,723,0, ,BEYER,BOULEVARD, ,PALM,AVENUE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,
1608039,2016-09-20 09:18:00,DRIVER,,,,HONDA,CR-V,442,0,S,41ST,STREET, ,NATIONAL,AVENUE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,
1608039,2016-09-20 09:18:00,DRIVER,PAIN,,,CHEVROLET,,442,0,S,41ST,STREET, ,NATIONAL,AVENUE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,
1608038,2016-09-20 21:07:00,DRIVER,PAIN,,,VOLKSWAGEN,TIGUAN,524,0, ,09TH,AVENUE, ,A,STREET,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1608038,2016-09-20 21:07:00,DRIVER,,,,SUBARU,OUTBACK,524,0, ,09TH,AVENUE, ,A,STREET,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1608043,2016-09-21 00:51:00,DRIVER,,,,HONDA,ACCORD,327,0, ,COLLEGE,AVENUE, ,MONTEZUMA,ROAD,21703,VC,FOLLOWING TOO CLOSELY,1,0,
1608043,2016-09-21 00:51:00,DRIVER,PAIN,,,FORD,RANGER,327,0, ,COLLEGE,AVENUE, ,MONTEZUMA,ROAD,21703,VC,FOLLOWING TOO CLOSELY,1,0,
1608072,2016-09-21 06:45:00,DRIVER,PAIN,,,HONDA,CIVIC (AND CRX),528,0, ,COLUMBIA,STREET,W,HAWTHORN,STREET,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1608072,2016-09-21 06:45:00,DRIVER,,,AUTOMOBILE,MAZDA,,528,0, ,COLUMBIA,STREET,W,HAWTHORN,STREET,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1608056,2016-09-22 21:00:00,DRIVER,,,,B.M.W.,X5,838,0, ,35TH,STREET, ,EL CAJON,BOULEVARD,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR
1608322,2016-09-23 07:49:00,DRIVER,,,,NISSAN,ALTIMA,231,0, ,EVENING CREEK S,DRIVE, ,SABRE SPRINGS,PARKWAY,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1608322,2016-09-23 07:49:00,DRIVER,,,,INFINITI,,231,0, ,EVENING CREEK S,DRIVE, ,SABRE SPRINGS,PARKWAY,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1608322,2016-09-23 07:49:00,DRIVER,,,,JAGUAR,XF,231,0, ,EVENING CREEK S,DRIVE, ,SABRE SPRINGS,PARKWAY,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1608537,2016-09-23 20:00:00,DRIVER,PAIN,,AUTOMOBILE,KIA,,231,0, ,POWAY,ROAD, ,SABRE SPRINGS,PARKWAY,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1608537,2016-09-23 20:00:00,DRIVER,,,,MITSUBISHI,LANCER(EVOLUTION),231,0, ,POWAY,ROAD, ,SABRE SPRINGS,PARKWAY,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1608537,2016-09-23 20:00:00,DRIVER,,,,TOYOTA,CAMRY,231,0, ,POWAY,ROAD, ,SABRE SPRINGS,PARKWAY,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1608108,2016-09-23 20:34:00,DRIVER,,,,JEEP,WRANGLER,122,0, ,DIAMOND,STREET, ,LAMONT,STREET,22450(A),VC,STOP REQUIREMENTS STATE STOP LINE,1,0,MISDEMEANOR
1608135,2016-09-24 15:30:00,DRIVER,PAIN,,,NISSAN,VERSA,233,0, ,CARMEL MTN,ROAD, ,TWIN TRAILS,DRIVE,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1608135,2016-09-24 15:30:00,DRIVER,,,LIGHT DUTY TRUCK,MAZDA,,233,0, ,CARMEL MTN,ROAD, ,TWIN TRAILS,DRIVE,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",1,0,
1608106,2016-09-24 15:56:00,PARKED VEHICLE OCCUPANT,,,,HONDA,CIVIC (AND CRX),311,0, ,AERO,DRIVE, ,LINDA VISTA,ROAD,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR
1608106,2016-09-24 15:56:00,DRIVER,,,,PONTIAC,G8,311,0, ,AERO,DRIVE, ,LINDA VISTA,ROAD,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR
1608178,2016-09-25 15:10:00,DRIVER,PAIN,,,NISSAN,SENTRA,315,0, ,CAM DEL RIO N, , ,QUALCOMM, ,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",2,0,
1608178,2016-09-25 15:10:00,DRIVER,PAIN,,,HONDA,CR-V,315,0, ,CAM DEL RIO N, , ,QUALCOMM, ,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",2,0,
1608176,2016-09-25 20:28:00,DRIVER,,,,FORD,F350,721,0, ,ELDER,AVENUE, ,THERMAL,AVENUE,21703,VC,FOLLOWING TOO CLOSELY,1,0,
1608176,2016-09-25 20:28:00,DRIVER,PAIN,,,OLDSMOBILE,,721,0, ,ELDER,AVENUE, ,THERMAL,AVENUE,21703,VC,FOLLOWING TOO CLOSELY,1,0,
1608227,2016-09-26 19:00:00,DRIVER,PAIN,,,HONDA,PILOT,723,0, ,DELCARDO,AVENUE, ,PALM,AVENUE,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",3,0,
1608227,2016-09-26 19:00:00,DRIVER,PAIN,,,FORD,EXPLORER,723,0, ,DELCARDO,AVENUE, ,PALM,AVENUE,21453A,VC,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",3,0,
1608337,2016-09-29 23:53:00,DRIVER,,,,FORD,FUSION,431,0, ,BETHUNE,COURT, ,KELTON,PLACE,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,
1608344,2016-10-01 00:35:00,PARKED VEHICLE OCCUPANT,,,,FORD,MUSTANG,441,0, ,35TH,STREET, ,OCEANVIEW, ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,
1608344,2016-10-01 00:35:00,PARKED VEHICLE OCCUPANT,,,,ACURA,,441,0, ,35TH,STREET, ,OCEANVIEW, ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,
1608344,2016-10-01 00:35:00,DRIVER,,,,FORD,MUSTANG,441,0, ,35TH,STREET, ,OCEANVIEW, ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,
1608344,2016-10-01 00:35:00,PARKED VEHICLE OCCUPANT,,,,CHRYSLER,,441,0, ,35TH,STREET, ,OCEANVIEW, ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,
1608360,2016-10-01 17:50:00,DRIVER,,,,TOYOTA,RAV4,315,0, ,GILL VILLAGE,WAY, ,STATION VILLAGE,LANE,22450(A),VC,STOP REQUIREMENTS STATE STOP LINE,0,0,MISDEMEANOR
1608360,2016-10-01 17:50:00,DRIVER,,,,HYUNDAI,ELANTRA,315,0, ,GILL VILLAGE,WAY, ,STATION VILLAGE,LANE,22450(A),VC,STOP REQUIREMENTS STATE STOP LINE,0,0,MISDEMEANOR
