objectid,roadsegid,iamfloc,rd20full,xstrt1,xstrt2,llowaddr,lhighaddr,rlowaddr,rhighaddr,zip,pwidth,pav_length,paveclass,funclass,cpname,pci23,pci23_d,road_norm,c1,c2,seg_key,adt_recent,adt_date,adt_mean,n_counts,seg_miles,vmt_day_recent
6291,903995.0,SS-027630-PV1,VIA CAPRI,RUE DE ANNE,RUE MICHAEL,7332.0,7368.0,7333.0,7369.0,92037.0,40.0,238.1402,AC Improved,CL 2 LANE SUB-COLLECTOR,La Jolla,44.85,Poor,VIA CAPRI,RUE DE ANNE,RUE MICHAEL,VIA CAPRI|RUE DE ANNE|RUE MICHAEL,7743.0,2022-04-20,7747.5,2.0,0.045102310606060604,349.22719102272725
15391,917391.0,SS-017054-PV1,LYTTON ST,ROSECRANS ST,LOCUST ST,3001.0,3099.0,3000.0,3098.0,92106.0,42.0,369.0,AC Improved,CL 2 LANE COLLECTOR WITH 2 WAY LEFT TURN,Peninsula,81.51,Satisfactory,LYTTON ST,ROSECRANS ST,LOCUST ST,LYTTON ST|LOCUST ST|ROSECRANS ST,14162.0,2016-06-16,13021.6,5.0,0.06988636363636364,989.7306818181818
17198,918035.0,SS-023564-PV1,ROSECRANS ST,NIMITZ BL,MACAULAY ST,1700.0,1748.0,1701.0,1749.0,92133.0,80.0,265.4147,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Peninsula,86.01,Good,ROSECRANS ST,NIMITZ BL,MACAULAY ST,ROSECRANS ST|MACAULAY ST|NIMITZ BL,36150.0,2010-12-09,34885.0,2.0,0.050267935606060604,1817.1858721590909
14021,928109.0,SS-010796-PV1,FAIRMOUNT AV,EL CAJON BL,MEADE AV,4300.0,4398.0,4301.0,4399.0,92105.0,65.0,713.1184,AC Improved,CL 2 LANE COLLECTOR WITH 2 WAY LEFT TURN,Mid-City: City Heights,69.0,Fair,FAIRMOUNT AVE,EL CAJON BL,MEADE AVE,FAIRMOUNT AVE|EL CAJON BL|MEADE AVE,7441.0,2015-05-13,7523.0,3.0,0.13506030303030303,1004.9837148484849
15816,910463.0,SS-000663-PV1,30TH ST,MYRTLE AV,CAPPS ST,3500.0,3548.0,3501.0,3549.0,92104.0,52.0,378.0,AC Improved,CL 2 LANE COLLECTOR WITH 2 WAY LEFT TURN,North Park,100.0,Good,30TH ST,MYRTLE AVE,CAPPS ST,30TH ST|CAPPS ST|MYRTLE AVE,7741.0,2022-04-12,10200.0,4.0,0.0715909090909091,554.1852272727273
23817,912625.0,SS-015535-PV1,LA JOLLA COLONY DR,GILMAN DR,ROSENDA CT,6100.0,6398.0,6101.0,6399.0,92122.0,64.0,2518.0019,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,University,78.68,Satisfactory,LA JOLLA COLONY DR,GILMAN DR,ROSENDA CT,LA JOLLA COLONY DR|GILMAN DR|ROSENDA CT,7884.0,2022-01-26,7884.0,1.0,0.47689429924242427,3759.834655227273
19190,918875.0,SS-016580-PV1,LISBON ST,PIDGEON ST,71ST ST,7000.0,7048.0,7001.0,7049.0,92114.0,36.0,269.0001,AC Improved,CL 2 LANE COLLECTOR WITH 2 WAY LEFT TURN,Skyline-Paradise Hills,62.5,Fair,LISBON ST,PIDGEON ST,71ST ST,LISBON ST|71ST ST|PIDGEON ST,6689.0,2021-04-06,8826.5,4.0,0.050946988636363634,340.78440698863636
14009,928099.0,SS-017625-PV1,MARLBOROUGH AV,EL CAJON BL,MEADE AV,4300.0,4398.0,4301.0,4399.0,92105.0,40.0,707.1017,AC Improved,CL 2 LANE COLLECTOR WITH 2 WAY LEFT TURN,Mid-City: City Heights,23.95,Serious,MARLBOROUGH AVE,EL CAJON BL,MEADE AVE,MARLBOROUGH AVE|EL CAJON BL|MEADE AVE,3117.0,2022-04-13,2717.3333333333335,6.0,0.13392077651515152,417.4310603977273
9361,908065.0,SS-003789-PV1,BEAGLE ST,ASHFORD ST,BEVIS ST,7500.0,7528.0,7501.0,7529.0,92111.0,40.0,263.0686,AC Improved,RES RESIDENTIAL LOCAL STREET,Clairemont Mesa,10.58,Serious,BEAGLE ST,ASHFORD ST,BEVIS ST,BEAGLE ST|ASHFORD ST|BEVIS ST,5908.0,2016-11-29,6164.333333333333,3.0,0.049823598484848484,294.35781984848484
14738,928551.0,SS-028985-PV1,WINONA AV,UNIVERSITY AV,OAKCREST DR,4000.0,4098.0,4001.0,4099.0,92105.0,36.0,659.1282,AC Improved,RES RESIDENTIAL LOCAL STREET,Mid-City: City Heights,56.44,Fair,WINONA AVE,UNIVERSITY AVE,OAKCREST DR,WINONA AVE|OAKCREST DR|UNIVERSITY AVE,1885.0,2015-05-14,2665.0,2.0,0.12483488636363636,235.31376079545456
25645,913763.0,SS-000690-PV1,30TH ST,EL CAJON BL,MEADE AV,4300.0,4398.0,4301.0,4399.0,92104.0,52.0,715.0112,AC Improved,CL 2 LANE COLLECTOR WITH 2 WAY LEFT TURN,North Park,64.09,Fair,30TH ST,EL CAJON BL,MEADE AVE,30TH ST|EL CAJON BL|MEADE AVE,7657.0,2021-05-12,10391.75,8.0,0.1354187878787879,1036.901658787879
25633,913752.0,SS-001961-PV1,ALABAMA ST,EL CAJON BL,MEADE AV,4300.0,4398.0,4301.0,4399.0,92104.0,40.0,717.0021,AC Improved,RES RESIDENTIAL LOCAL STREET,North Park,46.4,Poor,ALABAMA ST,EL CAJON BL,MEADE AVE,ALABAMA ST|EL CAJON BL|MEADE AVE,1130.0,2005-03-31,1130.0,1.0,0.13579585227272728,153.44931306818182
6837,906026.0,SS-007279-PV1,CLAIREMONT MESA BL,DUBOIS DR,GENESEE AV,4400.0,4498.0,4401.0,4499.0,92117.0,33.0,904.7708,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Clairemont Mesa,65.53,Fair,CLAIREMONT MESA BL,DUBOIS DR,GENESEE AVE,CLAIREMONT MESA BL|DUBOIS DR|GENESEE AVE,26408.0,2015-10-07,30093.6,5.0,0.17135810606060606,4525.224864848485
25994,931752.0,SS-027180-PV1,UNIVERSITY AV,38TH ST,39TH ST,3800.0,3898.0,3801.0,3899.0,92105.0,52.0,382.0653,AC Improved,CL 2 LANE COLLECTOR WITH 2 WAY LEFT TURN,Mid-City: City Heights,39.35,Very Poor,UNIVERSITY AVE,38TH ST,39TH ST,UNIVERSITY AVE|38TH ST|39TH ST,19066.0,2015-10-29,19066.0,1.0,0.07236085227272727,1379.6320094318182
22756,912057.0,SS-013652-PV1,HOLLISTER ST,IRIS AV,LEON AV,1501.0,1699.0,1500.0,1698.0,92154.0,64.0,1001.0798,AC Improved,CL 2 LANE COLLECTOR,Otay Mesa-Nestor,70.04,Satisfactory,HOLLISTER ST,IRIS AVE,LEON AVE,HOLLISTER ST|IRIS AVE|LEON AVE,8041.0,2016-12-14,6207.25,4.0,0.18959844696969697,1524.5611120833332
10605,908941.0,SS-012501-PV1,GRAND AV,BAYARD ST,CASS ST,900.0,998.0,901.0,999.0,92109.0,60.0,586.7037,PCC Jointed Concrete,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Pacific Beach,80.31,Satisfactory,GRAND AVE,BAYARD ST,CASS ST,GRAND AVE|BAYARD ST|CASS ST,14232.0,2013-10-15,15193.5,2.0,0.111118125,1581.433155
19527,919099.0,SS-006269-PV1,CARDIFF ST,SAN FELIPE ST,SAN VICENTE ST,500.0,698.0,501.0,699.0,92114.0,66.0,1030.4198,AC Improved,CL 2 LANE COLLECTOR,Skyline-Paradise Hills,38.89,Very Poor,CARDIFF ST,SAN FELIPE ST,SAN VICENTE ST,CARDIFF ST|SAN FELIPE ST|SAN VICENTE ST,5254.0,2020-01-21,5253.833333333333,6.0,0.19515526515151513,1025.3457631060605
24166,912918.0,SS-026499-PV1,TIERRASANTA BL,DUCOS PL,RUEDA DR,10900.0,10998.0,10901.0,10999.0,92124.0,54.0,1291.0477,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Tierrasanta,73.33,Satisfactory,TIERRASANTA BL,DUCOS PL,RUEDA DR,TIERRASANTA BL|DUCOS PL|RUEDA DR,9196.0,2022-03-30,10286.75,4.0,0.24451660984848486,2248.5747441666667
3608,924145.0,SS-030187-PV1,CAPRICORN WY,GANESTA RD,WESTONHILL DR,8560.0,8758.0,8561.0,8759.0,92126.0,40.0,1074.2683,AC Improved,CL 2 LANE SUB-COLLECTOR,Mira Mesa,9.87,Failed,CAPRICORN WY,GANESTA RD,WESTONHILL DR,CAPRICORN WY|GANESTA RD|WESTONHILL DR,6220.0,2013-12-17,6220.0,1.0,0.2034599053030303,1265.5206109848484
25804,931665.0,SS-020614-PV1,ORANGE AV,42ND ST,42ND ST,4200.0,4214.0,4201.0,4215.0,92105.0,52.0,198.0,AC Improved,CL 2 LANE COLLECTOR,Mid-City: City Heights,43.06,Poor,ORANGE AVE,42ND ST,42ND ST,ORANGE AVE|42ND ST|42ND ST,9823.0,2013-05-30,9846.5,2.0,0.0375,368.3625
8950,907710.0,SS-005666-PV1,CALUMET AV,COLIMA CT,MIDWAY ST,5400.0,5498.0,5401.0,5499.0,92037.0,36.0,505.478,AC Improved,RES RESIDENTIAL LOCAL STREET,La Jolla,92.2,Good,CALUMET AVE,COLIMA CT,MIDWAY ST,CALUMET AVE|COLIMA CT|MIDWAY ST,650.0,2009-08-13,744.5,2.0,0.09573446969696969,62.2274053030303
13665,927868.0,SS-026214-PV1,TAYLOR ST,MORENA BL,PRESIDIO DR,4250.0,4298.0,4251.0,4299.0,92110.0,62.0,345.8916,AC Improved,CL 2 LANE COLLECTOR,Old Town San Diego,47.45,Poor,TAYLOR ST,MORENA BL,PRESIDIO DR,TAYLOR ST|MORENA BL|PRESIDIO DR,15345.0,2015-06-17,15572.0,4.0,0.06550977272727272,1005.2474624999999
13653,910166.0,SS-030190-PV1,CHEROKEE AV,MONROE AV,MADISON AV,4500.0,4598.0,4501.0,4599.0,92116.0,36.0,707.1809,AC Improved,RES RESIDENTIAL LOCAL STREET,Mid-City: Normal Heights,90.2,Good,CHEROKEE AVE,MONROE AVE,MADISON AVE,CHEROKEE AVE|MADISON AVE|MONROE AVE,1610.0,2005-04-19,1610.0,1.0,0.1339357765151515,215.63660018939393
18677,918587.0,SS-017102-PV1,MADERA ST,BROADWAY,BITTERN ST,1000.0,1098.0,1001.0,1099.0,92114.0,40.0,375.6609,AC Unimproved,CL 2 LANE SUB-COLLECTOR,Encanto Neighborhoods,36.86,Very Poor,MADERA ST,BROADWAY,BITTERN ST,MADERA ST|BITTERN ST|BROADWAY,2805.0,2022-02-09,2805.0,1.0,0.07114789772727273,199.569853125
19382,919007.0,SS-014006-PV1,IMPERIAL AV,65TH ST,66TH ST,6500.0,6598.0,6501.0,6599.0,92114.0,62.0,544.7198,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Encanto Neighborhoods,29.38,Very Poor,IMPERIAL AVE,65TH ST,66TH ST,IMPERIAL AVE|65TH ST|66TH ST,13982.0,2020-01-22,17680.166666666668,6.0,0.10316662878787879,1442.4758037121212
24857,931203.0,SS-018572-PV1,MISSION CENTER RD,MISSION VALLEY RD,MURRAY RIDGE RD,5760.0,8698.0,5761.0,8699.0,92123.0,50.0,6574.0,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Serra Mesa,57.69,Fair,MISSION CENTER RD,MISSION VALLEY RD,MURRAY RIDGE RD,MISSION CENTER RD|MISSION VALLEY RD|MURRAY RIDGE RD,10281.0,2015-10-06,10281.0,1.0,1.2450757575757576,12800.623863636363
2504,923642.0,SS-009382-PV1,DORMOUSE RD,ECLIPSE RD,DORMOUSE CT,12474.0,12510.0,12475.0,12511.0,92129.0,36.0,479.1819,AC Improved,RES RESIDENTIAL LOCAL STREET,Rancho Penasquitos,80.8,Satisfactory,DORMOUSE RD,ECLIPSE RD,DORMOUSE CT,DORMOUSE RD|DORMOUSE CT|ECLIPSE RD,880.0,2005-08-23,880.0,1.0,0.09075414772727272,79.86364999999999
18423,929907.0,SS-003305-PV1,B ST,26TH ST,27TH ST,2600.0,2698.0,2601.0,2699.0,92102.0,52.0,656.0069,AC Improved,CL 2 LANE SUB-COLLECTOR,Greater Golden Hill,86.07,Good,B ST,26TH ST,27TH ST,B ST|26TH ST|27TH ST,7112.0,2020-03-03,5938.0,6.0,0.12424373106060606,883.6214153030303
21640,920866.0,SS-023058-PV1,REO DR,ROANOKE ST,RANCHO HILLS DR,2541.0,2599.0,2540.0,2598.0,92139.0,65.0,349.0,AC Improved,CL 2 LANE COLLECTOR WITH 2 WAY LEFT TURN,Skyline-Paradise Hills,79.86,Satisfactory,REO DR,ROANOKE ST,RANCHO HILLS DR,REO DR|RANCHO HILLS DR|ROANOKE ST,10866.0,2018-03-27,10376.6,5.0,0.06609848484848485,718.2261363636364
15194,917320.0,SS-016913-PV1,LOTUS DR,HYACINTH DR,AMARYLLIS DR,3601.0,3699.0,3600.0,3698.0,92106.0,34.0,351.1994,AC Improved,CL 2 LANE SUB-COLLECTOR,Peninsula,100.0,Good,LOTUS DR,HYACINTH DR,AMARYLLIS DR,LOTUS DR|AMARYLLIS DR|HYACINTH DR,2045.0,2013-04-23,2032.5,2.0,0.06651503787878789,136.02325246212123
27048,932083.0,SS-003313-PV1,B ST,PARK BL,16TH ST,1200.0,1598.0,1201.0,1599.0,92101.0,52.0,1325.0022,AC Improved,CL 2 LANE COLLECTOR,Greater Golden Hill,89.4,Good,B ST,PARK BL,16TH ST,B ST|16TH ST|PARK BL,11537.0,2016-08-10,12038.5,2.0,0.25094738636363634,2895.1799964772727
8055,907015.0,SS-012009-PV1,GENESEE AV,MT ETNA DR,DERRICK DR,4300.0,4398.0,4301.0,4399.0,92117.0,75.0,652.2549,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Clairemont Mesa,22.71,Serious,GENESEE AVE,MT ETNA DR,DERRICK DR,GENESEE AVE|DERRICK DR|MT ETNA DR,24986.0,2016-11-30,26555.75,4.0,0.12353312500000001,3086.59866125
20218,919640.0,SS-025088-PV1,SKYLINE DR,DEEROCK PL,MEADOWBROOK DR,7600.0,7898.0,7601.0,7899.0,92114.0,32.0,1306.6742,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Skyline-Paradise Hills,77.43,Satisfactory,SKYLINE DR,DEEROCK PL,MEADOWBROOK DR,SKYLINE DR|DEEROCK PL|MEADOWBROOK DR,7912.0,2017-05-03,7433.5,2.0,0.24747617424242424,1958.0314906060605
1806,904168.0,SS-022483-PV1,QUARTER MILE DR,KELLAM CT,HARTFIELD AV,3750.0,3898.0,3751.0,3899.0,92130.0,40.0,889.1609,AC Improved,CL 2 LANE SUB-COLLECTOR,Carmel Valley,87.94,Good,QUARTER MILE DR,KELLAM CT,HARTFIELD AVE,QUARTER MILE DR|HARTFIELD AVE|KELLAM CT,947.0,2021-06-30,1240.5,2.0,0.1684016856060606,159.4763962689394
13273,910034.0,SS-001715-PV1,ADAMS AV,34TH ST,HAWLEY BL,3400.0,3438.0,3401.0,3439.0,92116.0,56.0,360.0499,AC Improved,CL 2 LANE COLLECTOR,Mid-City: Normal Heights,79.9,Satisfactory,ADAMS AVE,34TH ST,HAWLEY BL,ADAMS AVE|34TH ST|HAWLEY BL,14416.0,2013-12-12,14416.0,1.0,0.06819126893939394,983.045333030303
25424,913669.0,SS-017149-PV1,MADISON AV,UTAH ST,KANSAS ST,2850.0,2898.0,2851.0,2899.0,92116.0,52.0,379.0025,AC Improved,CL 2 LANE SUB-COLLECTOR,North Park,38.12,Very Poor,MADISON AVE,UTAH ST,KANSAS ST,MADISON AVE|KANSAS ST|UTAH ST,5278.0,2020-03-10,5166.833333333333,6.0,0.07178077651515151,378.85893844696966
27231,921867.0,SS-001448-PV1,62ND ST,IMPERIAL AV,AKINS AV,500.0,508.0,501.0,509.0,92114.0,40.0,133.0067,AC Improved,CL 2 LANE SUB-COLLECTOR,Encanto Neighborhoods,34.81,Very Poor,62ND ST,IMPERIAL AVE,AKINS AVE,62ND ST|AKINS AVE|IMPERIAL AVE,2493.0,2020-01-21,4348.4,5.0,0.02519066287878788,62.80032255681818
8086,907042.0,SS-019332-PV1,MT ETNA DR,MT DAVIS AV,MT EVEREST BL,5000.0,5098.0,5001.0,5099.0,92117.0,40.0,526.6821,AC Improved,CL 2 LANE SUB-COLLECTOR,Clairemont Mesa,93.79,Good,MT ETNA DR,MT DAVIS AVE,MT EVEREST BL,MT ETNA DR|MT DAVIS AVE|MT EVEREST BL,3204.0,2022-01-11,3375.3333333333335,6.0,0.09975039772727272,319.6002743181818
27936,914269.0,SS-027162-PV1,UNIVERSITY AV,31ST ST,IOWA ST,3082.0,3128.0,3083.0,3129.0,92104.0,52.0,222.0028,AC Improved,CL 2 LANE COLLECTOR,North Park,8.35,Failed,UNIVERSITY AVE,31ST ST,IOWA ST,UNIVERSITY AVE|31ST ST|IOWA ST,19516.0,2016-04-05,20936.4,5.0,0.04204598484848485,820.5694403030304
26153,931813.0,SS-001047-PV1,43RD ST,LANDIS ST,WIGHTMAN ST,3700.0,3798.0,3701.0,3799.0,92105.0,52.0,683.1242,AC Improved,,Mid-City: City Heights,29.27,Very Poor,43RD ST,LANDIS ST,WIGHTMAN ST,43RD ST|LANDIS ST|WIGHTMAN ST,4610.0,2021-05-18,4146.0,5.0,0.12937958333333333,596.4398791666666
24147,912906.0,SS-003417-PV1,BALBOA AV,KEARNY VILLA RD,PONDEROSA AV,8500.0,9198.0,8501.0,9199.0,92123.0,86.0,3987.6624,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Kearny Mesa,59.25,Fair,BALBOA AVE,KEARNY VILLA RD,PONDEROSA AVE,BALBOA AVE|KEARNY VILLA RD|PONDEROSA AVE,22568.0,2016-09-08,23125.6,5.0,0.7552390909090909,17044.235803636362
19014,930230.0,SS-011683-PV1,G ST,14TH ST,15TH ST,1400.0,1498.0,1401.0,1499.0,92101.0,52.0,481.0011,AC Improved,CL 2 LANE COLLECTOR,Greater Golden Hill,29.91,Very Poor,G ST,14TH ST,15TH ST,G ST|14TH ST|15TH ST,17174.0,2014-06-04,16203.6,5.0,0.09109869318181818,1564.5289567045454
22737,912040.0,SS-020767-PV1,OTAY MESA RD,BRITANNIA BL,GAILES BL,7500.0,7698.0,7501.0,7699.0,92154.0,102.0,1333.7583,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Otay Mesa,65.74,Fair,OTAY MESA RD,BRITANNIA BL,GAILES BL,OTAY MESA RD|BRITANNIA BL|GAILES BL,9717.0,2012-12-06,9717.0,1.0,0.25260573863636365,2454.5699623295454
27948,932362.0,SS-026415-PV1,THORN ST,45TH ST,CHAMOUNE AV,4500.0,4548.0,4501.0,4549.0,92105.0,52.0,341.0298,AC Improved,RES RESIDENTIAL LOCAL STREET,Mid-City: City Heights,87.5,Good,THORN ST,45TH ST,CHAMOUNE AVE,THORN ST|45TH ST|CHAMOUNE AVE,2975.0,2013-03-14,2438.3333333333335,3.0,0.06458897727272728,192.15220738636364
8625,907426.0,SS-012388-PV1,GOLFCREST DR,RUANE ST,MISSION GORGE RD,7760.0,7898.0,7761.0,7899.0,92119.0,64.0,957.9727,AC Improved,CL 2 LANE COLLECTOR,Navajo,43.19,Poor,GOLFCREST DR,RUANE ST,MISSION GORGE RD,GOLFCREST DR|MISSION GORGE RD|RUANE ST,3695.0,2021-12-16,3355.25,4.0,0.1814342234848485,670.3994557765152
19363,918988.0,SS-010574-PV1,EUCLID AV,MARKET ST,GUYMON ST,500.0,698.0,501.0,699.0,92102.0,61.0,706.0068,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Encanto Neighborhoods,91.93,Good,EUCLID AVE,MARKET ST,GUYMON ST,EUCLID AVE|GUYMON ST|MARKET ST,26203.0,2017-01-11,25718.833333333332,6.0,0.1337134090909091,3503.6924584090907
11113,909256.0,SS-014436-PV1,JACKSON DR,LAKE MURRAY (NW FTG) BL,BOULDER LAKE AV,6310.0,6398.0,6311.0,6399.0,92119.0,75.0,446.9305,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Navajo,82.89,Satisfactory,JACKSON DR,LAKE MURRAY BL,BOULDER LAKE AVE,JACKSON DR|BOULDER LAKE AVE|LAKE MURRAY BL,10569.0,2013-04-25,10663.0,3.0,0.08464592803030303,894.6228133522727
27737,914134.0,SS-020801-PV1,OUTER RD,HOLLISTER ST,CORONADO (SB) AV,1001.0,1099.0,1000.0,1098.0,92154.0,38.0,1468.0,AC Improved,CL 2 LANE COLLECTOR WITH 2 WAY LEFT TURN,Otay Mesa-Nestor,66.76,Fair,OUTER RD,HOLLISTER ST,CORONADO AVE,OUTER RD|CORONADO AVE|HOLLISTER ST,4288.0,2021-12-02,4530.4,5.0,0.278030303030303,1192.1939393939394
28463,914382.0,SS-031307-PV1,FEDERAL (FTG) BL,49TH ST,MARY LOU ST,0.0,0.0,0.0,0.0,92102.0,20.0,319.6805,AC Improved,CL 2 LANE SUB-COLLECTOR,Mid-City: Eastern Area,48.49,Poor,FEDERAL BL,49TH ST,MARY LOU ST,FEDERAL BL|49TH ST|MARY LOU ST,8774.0,2018-04-18,9772.25,4.0,0.060545549242424244,531.2266490530303
25930,921301.0,SS-023137-PV1,RICHMOND ST,CLEVELAND AV,WASHINGTON ST,3950.0,4098.0,3951.0,4099.0,92103.0,52.0,754.2638,AC Improved,CL 2 LANE COLLECTOR WITH 2 WAY LEFT TURN,Uptown,72.21,Satisfactory,RICHMOND ST,CLEVELAND AVE,WASHINGTON ST,RICHMOND ST|CLEVELAND AVE|WASHINGTON ST,6461.0,2014-11-13,5490.333333333333,3.0,0.1428529924242424,922.9731840530302
27186,932176.0,SS-017615-PV1,MARKET ST,17TH ST,19TH ST,1700.0,1898.0,1701.0,1899.0,92102.0,68.0,564.0162,AC Improved,CL 4 LN COLLECTOR WITH 2 WY LEFT TURN LN,Southeastern San Diego,75.36,Satisfactory,MARKET ST,17TH ST,19TH ST,MARKET ST|17TH ST|19TH ST,9681.0,2016-10-06,8819.0,4.0,0.10682125,1034.13652125
5923,905175.0,SS-012840-PV1,GULLSTRAND ST,PAVLOV AV,GOVERNOR DR,6200.0,6348.0,6201.0,6349.0,92122.0,40.0,537.2494,AC Improved,RES RESIDENTIAL LOCAL STREET,University,46.97,Poor,GULLSTRAND ST,PAVLOV AVE,GOVERNOR DR,GULLSTRAND ST|GOVERNOR DR|PAVLOV AVE,744.0,2013-10-17,822.0,2.0,0.10175178030303031,75.70332454545455
25607,931562.0,SS-017927-PV1,MEADE AV,43RD ST,FAIRMOUNT AV,4300.0,4348.0,4301.0,4349.0,92105.0,36.0,330.003,AC Improved,CL 2 LANE COLLECTOR,Mid-City: Kensington-Talmadge,76.29,Satisfactory,MEADE AVE,43RD ST,FAIRMOUNT AVE,MEADE AVE|43RD ST|FAIRMOUNT AVE,5625.0,2022-07-26,4699.285714285715,7.0,0.06250056818181818,351.56569602272725
