"objectid","zone_name","imp_date","ordnum"
"126","AR-1-1","2006-02-28","R-301263"
"127","AR-1-1","2006-02-28","R-301263"
"128","AR-1-1","2006-02-28","R-301263"
"129","AR-1-1","2006-02-28","R-301263"
"130","AR-1-1","2006-02-28","R-301263"
"131","AR-1-1","2006-02-28","R-301263"
"132","AR-1-1","2006-02-28","R-301263"
"133","AR-1-1","2006-02-28","R-301263"
"134","AR-1-1","2006-02-28","R-301263"
"135","AR-1-1","2006-02-28","R-301263"
"136","AR-1-1","2006-02-28","R-301263"
"137","AR-1-1","2006-02-28","R-301263"
"138","AR-1-1","2006-02-28","R-301263"
"139","AR-1-1","2006-02-28","R-301263"
"140","AR-1-1","2006-02-28","R-301263"
"141","AR-1-1","2006-02-28","R-301263"
"142","AR-1-1","2006-02-28","R-301263"
"143","AR-1-1","2006-02-28","R-301263"
"144","AR-1-1","2006-02-28","R-301263"
"145","AR-1-1","2006-02-28","R-301263"
"146","AR-1-1","2006-02-28","R-301263"
"147","AR-1-1","2006-02-28","R-301263"
"148","AR-1-1","2006-02-28","R-301263"
"149","AR-1-1","2006-02-28","R-301263"
"150","AR-1-1","2006-02-28","R-301263"
"151","AR-1-1","2006-02-28","R-301263"
"152","AR-1-1","2006-02-28","R-301263"
"153","AR-1-1","2006-02-28","R-301263"
"154","AR-1-1","2006-02-28","R-301263"
"155","AR-1-1","2006-02-28","R-301263"
"156","AR-1-2","2006-02-28","R-301263"
"157","AR-1-2","2006-02-28","R-301263"
"158","AR-1-2","2006-02-28","R-301263"
"159","AR-1-2","2006-02-28","R-301263"
"160","AR-1-2","2006-02-28","R-301263"
"161","AR-1-2","2006-02-28","R-301263"
"162","AR-1-2","2006-02-28","R-301263"
"163","AR-1-2","2006-02-28","R-301263"
"164","AR-1-2","2006-02-28","R-301263"
"165","AR-1-2","2006-02-28","R-301263"
"166","AR-1-2","2006-02-28","R-301263"
"167","AR-1-2","2006-02-28","R-301263"
"168","AR-1-2","2006-02-28","R-301263"
"169","AR-1-2","2006-02-28","R-301263"
"170","AR-1-2","2006-02-28","R-301263"
"171","AR-1-2","2006-02-28","R-301263"
"172","AR-1-2","2006-02-28","R-301263"
"173","AR-1-2","2006-02-28","R-301263"
"174","AR-1-2","2006-02-28","R-301263"
"175","AR-1-2","2006-02-28","R-301263"
"176","AR-1-2","2006-02-28","R-301263"
"177","AR-1-2","2006-02-28","R-301263"
"178","AR-1-2","2006-02-28","R-301263"
"179","AR-1-2","2006-02-28","R-301263"
"180","AR-1-2","2006-02-28","R-301263"
"181","AR-1-2","2006-02-28","R-301263"
"182","AR-1-2","2006-02-28","R-301263"
"183","AR-1-2","2006-02-28","R-301263"
"184","AR-1-2","2006-02-28","R-301263"
"185","CC-1-1","2006-02-28","R-301263"
"186","CC-1-1","2006-02-28","R-301263"
"187","CC-1-3","2006-02-28","R-301263"
"188","CC-1-3","2006-02-28","R-301263"
"189","CC-1-3","2006-02-28","R-301263"
"190","CC-1-3","2006-02-28","R-301263"
"191","CC-1-3","2006-02-28","R-301263"
"192","CC-1-3","2006-02-28","R-301263"
"193","CC-1-3","2006-02-28","R-301263"
"194","CC-1-3","2006-02-28","R-301263"
"195","CC-1-3","2006-02-28","R-301263"
"196","CC-1-3","2006-02-28","R-301263"
"197","CC-1-3","2006-02-28","R-301263"
"198","CC-1-3","2006-02-28","R-301263"
"199","CC-1-3","2006-02-28","R-301263"
"200","CC-1-3","2006-02-28","R-301263"
"201","CC-1-3","2006-02-28","R-301263"
"202","CC-1-3","2006-02-28","R-301263"
"203","CC-1-3","2006-02-28","R-301263"
"204","CC-1-3","2006-02-28","R-301263"
"205","CC-1-3","2006-02-28","R-301263"
"206","CC-1-3","2006-02-28","R-301263"
"207","CC-1-3","2006-02-28","R-301263"
"208","CC-1-3","2006-02-28","R-301263"
"209","CC-1-3","2006-02-28","R-301263"
"210","CC-1-3","2006-02-28","R-301263"
"211","CC-1-3","2006-02-28","R-301263"
"212","CC-1-3","2006-02-28","R-301263"
"213","CC-1-3","2006-02-28","R-301263"
"214","CC-1-3","2006-02-28","R-301263"
"215","CC-1-3","2006-02-28","R-301263"
"216","CC-1-3","2006-02-28","R-301263"
"217","CC-1-3","2006-02-28","R-301263"
"218","CC-1-3","2006-02-28","R-301263"
"219","CC-1-3","2006-02-28","R-301263"
"220","CC-1-3","2006-02-28","R-301263"
"221","CC-1-3","2006-02-28","R-301263"
"222","CC-1-3","2006-02-28","R-301263"
"223","CC-1-3","2006-02-28","R-301263"
"224","CC-1-3","2006-02-28","R-301263"
"225","CC-1-3","2006-02-28","R-301263"
"226","CC-1-3","2006-02-28","R-301263"
"227","CC-1-3","2006-02-28","R-301263"
"228","CC-1-3","2006-02-28","R-301263"
"229","CC-1-3","2006-02-28","R-301263"
"230","CC-1-3","2006-02-28","R-301263"
"231","CC-1-3","2006-02-28","R-301263"
"232","CC-1-3","2006-02-28","R-301263"
"233","CC-1-3","2006-02-28","R-301263"
"234","CC-1-3","2006-02-28","R-301263"
"235","CC-1-3","2006-02-28","R-301263"
"236","CC-1-3","2006-02-28","R-301263"
"237","CC-1-3","2006-02-28","R-301263"
"238","CC-1-3","2006-02-28","R-301263"
"239","CC-2-3","2006-02-28","R-301263"
"240","CC-2-3","2006-02-28","R-301263"
"241","CC-2-3","2006-02-28","R-301263"
"242","CC-2-3","2006-02-28","R-301263"
"243","CC-2-3","2006-02-28","R-301263"
"244","CC-2-3","2006-02-28","R-301263"
"245","CC-2-3","2006-02-28","R-301263"
"246","CC-2-3","2006-02-28","R-301263"
"247","CC-2-3","2006-02-28","R-301263"
"248","CC-2-3","2006-02-28","R-301263"
"249","CC-2-3","2006-02-28","R-301263"
"250","CC-2-3","2006-02-28","R-301263"
"251","CC-2-3","2006-02-28","R-301263"
"252","CC-2-3","2006-02-28","R-301263"
"253","CC-2-3","2006-02-28","R-301263"
"254","CC-2-3","2006-02-28","R-301263"
"255","CC-2-3","2006-02-28","R-301263"
"256","CC-2-3","2006-02-28","R-301263"
"257","CC-2-3","2006-02-28","R-301263"
"258","CC-2-3","2006-02-28","R-301263"
"259","CC-2-3","2006-02-28","R-301263"
"260","CC-2-3","2006-02-28","R-301263"
"261","CC-2-3","2006-02-28","R-301263"
"262","CC-2-3","2006-02-28","R-301263"
"263","CC-3-4","2006-02-28","R-301263"
"264","CC-3-5","2006-02-28","R-301263"
"265","CC-3-5","2006-02-28","R-301263"
"266","CC-3-5","2006-02-28","R-301263"
"267","CC-3-5","2006-02-28","R-301263"
"268","CC-3-5","2006-02-28","R-301263"
"269","CC-3-5","2006-02-28","R-301263"
"270","CC-3-5","2006-02-28","R-301263"
"271","CC-3-5","2006-02-28","R-301263"
"272","CC-4-1","2006-02-28","R-301263"
"273","CC-4-2","2006-02-28","R-301263"
"274","CC-4-2","2006-02-28","R-301263"
"275","CC-4-2","2006-02-28","R-301263"
"276","CC-4-2","2006-02-28","R-301263"
"277","CC-4-2","2006-02-28","R-301263"
"278","CC-4-2","2006-02-28","R-301263"
"279","CC-4-2","2006-02-28","R-301263"
"280","CC-4-2","2006-02-28","R-301263"
"281","CC-4-2","2006-02-28","R-301263"
"282","CC-4-2","2006-02-28","R-301263"
"283","CC-4-2","2006-02-28","R-301263"
"284","CC-4-2","2006-02-28","R-301263"
"285","CC-4-2","2006-02-28","R-301263"
"286","CC-4-2","2006-02-28","R-301263"
"287","CC-4-2","2006-02-28","R-301263"
"288","CC-4-5","2006-02-28","R-301263"
"289","CC-4-5","2006-02-28","R-301263"
"290","CC-4-5","2006-02-28","R-301263"
"291","CC-4-5","2006-02-28","R-301263"
"292","CC-4-5","2006-02-28","R-301263"
"293","CC-4-5","2006-02-28","R-301263"
"294","CC-4-5","2006-02-28","R-301263"
"295","CC-4-5","2006-02-28","R-301263"
"296","CC-4-5","2006-02-28","R-301263"
"297","CC-4-5","2006-02-28","R-301263"
"298","CC-4-5","2006-02-28","R-301263"
"299","CC-4-5","2006-02-28","R-301263"
"300","CC-4-5","2006-02-28","R-301263"
"301","CC-4-5","2006-02-28","R-301263"
"302","CC-4-5","2006-02-28","R-301263"
"303","CC-4-5","2006-02-28","R-301263"
"304","CC-4-5","2006-02-28","R-301263"
"305","CC-5-4","2006-02-28","R-301263"
"306","CC-5-5","2006-02-28","R-301263"
"307","CN-1-2","2006-02-28","R-301263"
"308","CN-1-2","2006-02-28","R-301263"
"309","CN-1-2","2006-02-28","R-301263"
"310","CN-1-2","2006-02-28","R-301263"
"311","CN-1-2","2006-02-28","R-301263"
"312","CN-1-2","2006-02-28","R-301263"
"313","CN-1-2","2006-02-28","R-301263"
"314","CN-1-2","2006-02-28","R-301263"
"315","CN-1-2","2006-02-28","R-301263"
"316","CN-1-2","2006-02-28","R-301263"
"317","CN-1-2","2006-02-28","R-301263"
"318","CN-1-2","2006-02-28","R-301263"
"319","CN-1-2","2006-02-28","R-301263"
"320","CN-1-2","2006-02-28","R-301263"
"321","CN-1-2","2006-02-28","R-301263"
"322","CN-1-2","2006-02-28","R-301263"
"323","CN-1-2","2006-02-28","R-301263"
"324","CN-1-2","2006-02-28","R-301263"
"325","CN-1-2","2006-02-28","R-301263"
"326","CN-1-2","2006-02-28","R-301263"
"327","CN-1-2","2006-02-28","R-301263"
"328","CN-1-2","2006-02-28","R-301263"
"329","CN-1-2","2006-02-28","R-301263"
"330","CN-1-2","2006-02-28","R-301263"
"331","CN-1-2","2006-02-28","R-301263"
"332","CN-1-2","2006-02-28","R-301263"
"333","CN-1-2","2006-02-28","R-301263"
"334","CN-1-2","2006-02-28","R-301263"
"335","CN-1-2","2006-02-28","R-301263"
"336","CN-1-2","2006-02-28","R-301263"
"337","CN-1-2","2006-02-28","R-301263"
"338","CN-1-2","2006-02-28","R-301263"
"339","CN-1-2","2006-02-28","R-301263"
"340","CN-1-2","2006-02-28","R-301263"
"341","CN-1-2","2006-02-28","R-301263"
"342","CN-1-2","2006-02-28","R-301263"
"343","CN-1-2","2006-02-28","R-301263"
"344","CN-1-2","2006-02-28","R-301263"
"345","CN-1-2","2006-02-28","R-301263"
"346","CN-1-2","2006-02-28","R-301263"
"347","CN-1-2","2006-02-28","R-301263"
"348","CN-1-2","2006-02-28","R-301263"
"349","CN-1-2","2006-02-28","R-301263"
"350","CN-1-2","2006-02-28","R-301263"
"351","CN-1-2","2006-02-28","R-301263"
"352","CN-1-2","2006-02-28","R-301263"
"353","CN-1-2","2006-02-28","R-301263"
"354","CN-1-2","2006-02-28","R-301263"
"355","CN-1-2","2006-02-28","R-301263"
"356","CN-1-2","2006-02-28","R-301263"
"357","CN-1-2","2006-02-28","R-301263"
"358","CN-1-2","2006-02-28","R-301263"
"359","CN-1-2","2006-02-28","R-301263"
"360","CN-1-2","2006-02-28","R-301263"
"361","CN-1-2","2006-02-28","R-301263"
"362","CN-1-2","2006-02-28","R-301263"
"363","CN-1-2","2006-02-28","R-301263"
"364","CN-1-2","2006-02-28","R-301263"
"365","CN-1-2","2006-02-28","R-301263"
"366","CN-1-2","2006-02-28","R-301263"
"367","CN-1-2","2006-02-28","R-301263"
"368","CN-1-2","2006-02-28","R-301263"
"369","CN-1-2","2006-02-28","R-301263"
"370","CN-1-2","2006-02-28","R-301263"
"371","CN-1-2","2006-02-28","R-301263"
"372","CN-1-2","2006-02-28","R-301263"
"373","CN-1-2","2006-02-28","R-301263"
"374","CN-1-2","2006-02-28","R-301263"
"375","CN-1-2","2006-02-28","R-301263"
"376","CN-1-2","2006-02-28","R-301263"
"377","CN-1-2","2006-02-28","R-301263"
"378","CN-1-2","2006-02-28","R-301263"
"379","CO-1-1","2006-02-28","R-301263"
"380","CO-1-2","2006-02-28","R-301263"
"381","CO-1-2","2006-02-28","R-301263"
"382","CO-1-2","2006-02-28","R-301263"
"383","CO-1-2","2006-02-28","R-301263"
"384","CO-1-2","2006-02-28","R-301263"
"385","CO-1-2","2006-02-28","R-301263"
"386","CO-1-2","2006-02-28","R-301263"
"387","CO-1-2","2006-02-28","R-301263"
"388","CO-1-2","2006-02-28","R-301263"
"389","CO-1-2","2006-02-28","R-301263"
"390","CO-1-2","2006-02-28","R-301263"
"391","CO-1-2","2006-02-28","R-301263"
"392","CO-1-2","2006-02-28","R-301263"
"393","CO-1-2","2006-02-28","R-301263"
"394","CO-1-2","2006-02-28","R-301263"
"395","CO-1-2","2006-02-28","R-301263"
"396","CO-1-2","2006-02-28","R-301263"
"397","CO-1-2","2006-02-28","R-301263"
"398","CO-1-2","2006-02-28","R-301263"
"399","CO-1-2","2006-02-28","R-301263"
"400","CO-1-2","2006-02-28","R-301263"
"401","CO-1-2","2006-02-28","R-301263"
"402","CO-1-2","2006-02-28","R-301263"
"403","CO-1-2","2006-02-28","R-301263"
"404","CO-1-2","2006-02-28","R-301263"
"405","CO-1-2","2006-02-28","R-301263"
"406","CO-1-2","2006-02-28","R-301263"
"407","CO-1-2","2006-02-28","R-301263"
"408","CO-1-2","2006-02-28","R-301263"
"409","CO-1-2","2006-02-28","R-301263"
"410","CO-1-2","2006-02-28","R-301263"
"411","CO-1-2","2006-02-28","R-301263"
"412","CO-1-2","2006-02-28","R-301263"
"413","CO-1-2","2006-02-28","R-301263"
"414","CO-1-2","2006-02-28","R-301263"
"415","CO-1-2","2006-02-28","R-301263"
"416","CO-1-2","2006-02-28","R-301263"
"417","CO-1-2","2006-02-28","R-301263"
"418","CO-1-2","2006-02-28","R-301263"
"419","CO-1-2","2006-02-28","R-301263"
"420","CO-1-2","2006-02-28","R-301263"
"421","CO-1-2","2006-02-28","R-301263"
"422","CO-1-2","2006-02-28","R-301263"
"423","CO-1-2","2006-02-28","R-301263"
"424","CP-1-1","2006-02-28","R-301263"
"425","CP-1-1","2006-02-28","R-301263"
"426","CP-1-1","2006-02-28","R-301263"
"427","CP-1-1","2006-02-28","R-301263"
"428","CP-1-1","2006-02-28","R-301263"
"429","CP-1-1","2006-02-28","R-301263"
"430","CP-1-1","2006-02-28","R-301263"
"431","CP-1-1","2006-02-28","R-301263"
"432","CP-1-1","2006-02-28","R-301263"
"433","CP-1-1","2006-02-28","R-301263"
"434","CP-1-1","2006-02-28","R-301263"
"435","CP-1-1","2006-02-28","R-301263"
"436","CP-1-1","2006-02-28","R-301263"
"437","CR-1-1","2006-02-28","R-301263"
"438","CSPD-CASS-STREET","2006-02-28","R-301263"
"439","CV-1-1","2006-02-28","R-301263"
"440","CV-1-1","2006-02-28","R-301263"
"441","CV-1-1","2006-02-28","R-301263"
"442","CV-1-1","2006-02-28","R-301263"
"443","CV-1-1","2006-02-28","R-301263"
"444","CV-1-1","2006-02-28","R-301263"
"445","CV-1-1","2006-02-28","R-301263"
"446","CV-1-1","2006-02-28","R-301263"
"447","CV-1-1","2006-02-28","R-301263"
"448","CV-1-1","2006-02-28","R-301263"
"449","CV-1-1","2006-02-28","R-301263"
"450","CV-1-1","2006-02-28","R-301263"
"451","CV-1-1","2006-02-28","R-301263"
"452","CV-1-1","2006-02-28","R-301263"
"453","CV-1-1","2006-02-28","R-301263"
"454","CV-1-1","2006-02-28","R-301263"
"455","CV-1-1","2006-02-28","R-301263"
"456","CV-1-2","2006-02-28","R-301263"
"457","CV-1-2","2006-02-28","R-301263"
"458","CV-1-2","2006-02-28","R-301263"
"459","CV-1-2","2006-02-28","R-301263"
"460","CV-1-2","2006-02-28","R-301263"
"461","CV-1-2","2006-02-28","R-301263"
"462","CC-3-8","2021-12-17","R-313753"
"463","CV-1-2","2006-02-28","R-301263"
"464","CV-1-2","2006-02-28","R-301263"
"465","CV-1-2","2006-02-28","R-301263"
"466","CV-1-2","2006-02-28","R-301263"
"467","CV-1-2","2006-02-28","R-301263"
"468","CV-1-2","2006-02-28","R-301263"
"469","CVPD-EC","2006-02-28","R-301263"
"470","CVPD-EP","2006-02-28","R-301263"
"471","CVPD-EP","2006-02-28","R-301263"
"472","CVPD-EP","2006-02-28","R-301263"
"473","CVPD-EP","2006-02-28","R-301263"
"474","CVPD-EP","2006-02-28","R-301263"
"475","CVPD-EP","2006-02-28","R-301263"
"476","CVPD-MF1","2006-02-28","R-301263"
"477","CVPD-MF1","2006-02-28","R-301263"
"478","CVPD-MF1","2006-02-28","R-301263"
"479","CVPD-MF1","2006-02-28","R-301263"
"480","CVPD-MF1","2006-02-28","R-301263"
"481","CVPD-MF1","2006-02-28","R-301263"
"482","CVPD-MF1","2006-02-28","R-301263"
"483","CVPD-MF1","2006-02-28","R-301263"
"484","CVPD-MF2","2006-02-28","R-301263"
"485","CVPD-MF2","2006-02-28","R-301263"
"486","CVPD-MF2","2006-02-28","R-301263"
"487","CVPD-MF3","2006-02-28","R-301263"
"488","CVPD-MF3","2006-02-28","R-301263"
"489","CVPD-MF4","2006-02-28","R-301263"
"490","CVPD-MFL","2006-02-28","R-301263"
"491","CVPD-MFL","2006-02-28","R-301263"
"492","CVPD-MFL","2006-02-28","R-301263"
"493","CVPD-MFL","2006-02-28","R-301263"
"494","CVPD-NC","2006-02-28","R-301263"
"495","CVPD-NC","2006-02-28","R-301263"
"496","CVPD-OS","2006-02-28","R-301263"
"497","CVPD-OS","2006-02-28","R-301263"
"498","CVPD-OS","2006-02-28","R-301263"
"499","CVPD-OS","2006-02-28","R-301263"
"500","CVPD-SC","2006-02-28","R-301263"
"501","CVPD-SC","2006-02-28","R-301263"
"502","CVPD-SF","2006-02-28","R-301263"
"503","CVPD-SF1","2006-02-28","R-301263"
"504","CVPD-SF1","2006-02-28","R-301263"
"505","CVPD-SF1","2006-02-28","R-301263"
"506","CVPD-SF1A","2006-02-28","R-301263"
"507","CVPD-SF1A","2006-02-28","R-301263"
"508","CVPD-SF1A","2006-02-28","R-301263"
"509","CVPD-SF1A","2006-02-28","R-301263"
"510","CVPD-SF1A","2006-02-28","R-301263"
"511","CVPD-SF1A","2006-02-28","R-301263"
"512","CVPD-SF2","2006-02-28","R-301263"
"513","CVPD-SF2","2006-02-28","R-301263"
"514","CVPD-SF2","2006-02-28","R-301263"
"515","CVPD-SF2","2006-02-28","R-301263"
"516","CVPD-SF2","2006-02-28","R-301263"
"517","CVPD-SF3","2006-02-28","R-301263"
"518","CVPD-SF3","2006-02-28","R-301263"
"519","CVPD-SF3","2006-02-28","R-301263"
"520","CVPD-SF3","2006-02-28","R-301263"
"521","CVPD-SF3","2006-02-28","R-301263"
"522","CVPD-SF3","2006-02-28","R-301263"
"523","CVPD-SF3","2006-02-28","R-301263"
"524","CVPD-SP","2006-02-28","R-301263"
"525","CVPD-SP","2006-02-28","R-301263"
"526","CVPD-SP","2006-02-28","R-301263"
"527","CVPD-TC","2006-02-28","R-301263"
"528","CVPD-VC","2006-02-28","R-301263"
"529","CVPD-VC","2006-02-28","R-301263"
"530","GQPD-GASLAMP-QTR","2006-02-28","R-301263"
"531","IH-2-1","2006-02-28","R-301263"
"532","IH-2-1","2006-02-28","R-301263"
"533","IH-2-1","2006-02-28","R-301263"
"534","IH-2-1","2006-02-28","R-301263"
"535","IH-2-1","2006-02-28","R-301263"
"536","IH-2-1","2006-02-28","R-301263"
"537","IH-2-1","2006-02-28","R-301263"
"538","IS-1-1","2006-02-28","R-301263"
"539","IL-2-1","2006-02-28","R-301263"
"540","IL-2-1","2006-02-28","R-301263"
"541","IL-2-1","2006-02-28","R-301263"
"542","IL-2-1","2006-02-28","R-301263"
"543","IL-2-1","2006-02-28","R-301263"
"544","IL-2-1","2006-02-28","R-301263"
"545","IL-2-1","2006-02-28","R-301263"
"546","IL-2-1","2006-02-28","R-301263"
"547","IL-2-1","2006-02-28","R-301263"
"548","IL-2-1","2006-02-28","R-301263"
"549","IL-2-1","2006-02-28","R-301263"
"550","IL-3-1","2006-02-28","R-301263"
"551","IL-3-1","2006-02-28","R-301263"
"552","IL-3-1","2006-02-28","R-301263"
"553","IL-3-1","2006-02-28","R-301263"
"554","IL-3-1","2006-02-28","R-301263"
"555","IL-3-1","2006-02-28","R-301263"
"556","IL-3-1","2006-02-28","R-301263"
"557","IL-3-1","2006-02-28","R-301263"
"558","IL-3-1","2006-02-28","R-301263"
"559","IL-3-1","2006-02-28","R-301263"
"560","IL-3-1","2006-02-28","R-301263"
"561","IL-3-1","2006-02-28","R-301263"
"562","IL-3-1","2006-02-28","R-301263"
"563","RS-1-14","2006-02-28","R-301263"
"564","IL-3-1","2006-02-28","R-301263"
"565","IP-1-1","2006-02-28","R-301263"
"566","IP-1-1","2006-02-28","R-301263"
"567","IP-2-1","2006-02-28","R-301263"
"568","IP-2-1","2006-02-28","R-301263"
"569","IP-2-1","2006-02-28","R-301263"
"570","IP-2-1","2006-02-28","R-301263"
"571","IP-2-1","2006-02-28","R-301263"
"572","IP-2-1","2006-02-28","R-301263"
"573","IP-2-1","2006-02-28","R-301263"
"574","IP-2-1","2006-02-28","R-301263"
"575","IP-2-1","2006-02-28","R-301263"
"576","IP-2-1","2006-02-28","R-301263"
"577","IP-2-1","2006-02-28","R-301263"
"578","IP-2-1","2006-02-28","R-301263"
"579","IP-2-1","2006-02-28","R-301263"
"580","LJPD-1","2006-02-28","R-301263"
"581","LJPD-3","2006-02-28","R-301263"
"582","LJPD-4","2006-02-28","R-301263"
"583","LJPD-4","2006-02-28","R-301263"
"584","LJPD-4","2006-02-28","R-301263"
"585","LJPD-4","2006-02-28","R-301263"
"586","LJPD-5","2006-02-28","R-301263"
"587","LJPD-5","2006-02-28","R-301263"
"588","LJPD-5","2006-02-28","R-301263"
"589","LJPD-5","2006-02-28","R-301263"
"590","LJPD-5A","2006-02-28","R-301263"
"591","LJPD-5A","2006-02-28","R-301263"
"592","LJPD-5A","2006-02-28","R-301263"
"593","LJPD-6","2006-02-28","R-301263"
"594","LJPD-6","2006-02-28","R-301263"
"595","LJPD-6","2006-02-28","R-301263"
"596","LJPD-6A","2006-02-28","R-301263"
"597","LJSPD-CC","2006-02-28","R-301263"
"598","LJSPD-CC","2006-02-28","R-301263"
"599","LJSPD-MF1","2006-02-28","R-301263"
"600","LJSPD-MF2","2006-02-28","R-301263"
